11:19:50 - Info   :    Caching database...
11:19:50 - Info   :        Clearing Tables...
11:19:50 - Info   :    Waiting for a connection... 
11:20:56 - Info   :    Connected!
11:21:04 - Warn   :    adt { A08 - Update          , 63606_34_FV    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_35_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_36_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_37_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_38_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_39_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Info   :    adt { A02 - Transfer        , 63606_40_TA1   }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:04 - Warn   :    adt { A08 - Update          , 63606_41_TA4   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_42_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Info   :    adt { A02 - Transfer        , 63606_43_TA1   }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:05 - Warn   :    adt { A08 - Update          , 63606_44_TA4   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Warn   :    adt { A08 - Update          , 63606_45_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Warn   :    adt { A08 - Update          , 63606_46_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Warn   :    adt { A08 - Update          , 63606_47_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Warn   :    adt { A08 - Update          , 63606_48_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Warn   :    adt { A08 - Update          , 63606_49_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Warn   :    adt { A08 - Update          , 63606_50_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_51_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_52_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_53_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_54_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_55_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_56_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_57_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_58_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_59_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:06 - Warn   :    adt { A08 - Update          , 63606_60_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Warn   :    adt { A08 - Update          , 63606_61_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Warn   :    adt { A08 - Update          , 63606_62_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Warn   :    adt { A08 - Update          , 63606_63_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Warn   :    adt { A08 - Update          , 63606_65_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Warn   :    adt { A08 - Update          , 63606_66_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Warn   :    adt { A08 - Update          , 63606_67_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Warn   :    adt { A08 - Update          , 63606_68_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:07 - Info   :    adt { A03 - Discharge       , 63606_69_DA    }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:07 - Warn   :    adt { A08 - Update          , 63606_70_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
